301.5031 7.214784
306.2063 9.840297
310.9081 12.234396
316.0719 13.564279
321.2346 14.703889
326.3972 15.848641
331.5598 16.983108
336.7222 18.076436
341.8844 19.159478
347.0466 20.232235
352.2110 21.654683
357.3779 23.467962
362.5448 25.301811
367.7118 27.135660
372.8789 28.995221
378.0486 31.266183
382.9845 33.622370
387.9233 36.435211
393.0946 38.968441
398.0313 41.449076
402.9681 43.952338
407.9054 46.523481
412.3725 48.873099
416.3727 51.498044
420.1380 54.031710
423.9034 56.565376
427.6687 59.099042
431.4340 61.646851
435.1994 64.180517
439.6685 66.838028
444.8225 66.604588
449.9701 65.352930
455.1179 64.121843
460.2655 62.849616
465.4131 61.587673
470.5607 60.336016
475.7082 59.063788
480.8543 57.555005
485.9995 55.912517
489.6649 53.184804
491.5379 50.529961
493.4485 47.938443
495.3078 45.478885
497.1671 43.005184
499.0265 40.559768
500.6860 38.257669
502.5126 35.923348
504.3721 33.492073
506.4126 30.853494
508.3232 28.261976
511.4865 26.142610
516.2686 24.715887
521.4151 23.289384
526.5616 21.842311
531.7081 20.415808
536.8562 19.225861
542.0043 18.046199
547.1524 16.861394
552.3009 15.748584
557.4505 14.805477
562.6021 14.181206
567.7536 13.546650
572.9049 12.881239
578.0566 12.267253
583.2080 11.622411
588.3595 10.977570
593.5111 10.353299
598.6625 9.708458
603.8139 9.053332
608.9656 8.439346
614.1169 7.773934
619.2685 7.149663
624.4200 6.520249
629.5714 5.868552
634.7229 5.225425
639.8745 4.601153
645.0258 3.935742
650.1780 3.404036
655.3320 3.160311
660.4874 3.153141
665.6419 2.991696
670.7970 2.933101
675.9517 2.812796
681.1065 2.692490
686.2607 2.489905
691.4151 2.318175
696.5697 2.167015
701.7242 2.015854
706.8785 1.823554
712.0329 1.641539
717.1856 1.202398
