301.5771 19.032273
306.7381 19.919900
311.8991 20.797242
317.0604 21.726009
322.2217 22.654776
327.3831 23.593828
332.5445 24.543165
337.7060 25.502787
342.8676 26.472694
348.0292 27.463171
353.1910 28.463933
358.3527 29.464696
363.5146 30.475743
368.6765 31.497075
373.8385 32.538977
379.0004 33.570594
384.1626 34.633067
389.3247 35.695539
394.4868 36.758011
399.6490 37.820483
404.8112 38.903526
409.9736 40.007138
415.1358 41.079895
420.2982 42.183508
425.4606 43.287120
430.6232 44.411302
435.7856 45.514915
440.9480 46.625841
447.5186 48.072680
452.6811 49.196862
457.8437 50.321044
463.0064 51.476082
468.1690 52.610549
473.3316 53.755302
478.4943 54.900054
483.6571 56.065376
488.8197 57.210129
493.9824 58.365166
499.1454 59.551059
504.3080 60.695811
509.4708 61.861134
514.6336 63.036741
519.7964 64.191779
524.9592 65.367386
530.1222 66.563564
535.2850 67.728886
540.4478 68.904494
545.6107 70.090386
550.7736 71.265994
555.9366 72.462171
561.0994 73.637779
566.2624 74.833956
571.4252 76.009564
576.5882 77.205741
581.7512 78.401919
586.9142 79.598096
592.0770 80.773704
597.2401 81.990451
602.4030 83.166059
607.5660 84.372521
612.7289 85.558414
617.8920 86.764876
623.0549 87.950769
628.2180 89.167516
633.3809 90.353409
638.5439 91.559871
643.7069 92.756049
648.8699 93.952226
654.0330 95.168974
659.1959 96.354866
664.3590 97.561329
669.5220 98.767792
674.6849 99.953684
679.8480 101.170432
685.0109 102.356324
690.1740 103.573072
695.3370 104.769249
700.4999 105.955142
705.6630 107.171889
710.8260 108.368067
715.9891 109.574529
719.5092 110.384027
